id	level	puzzle	answer	hint
001	Beginner	🐝 + 🍃	BELIEVE	Say the two clues aloud.
002	Beginner	☀️ + 🌻	SUNFLOWER	Combine the two clues.
003	Beginner	⭐ + 🐟	STARFISH	Combine the two clues.
004	Beginner	🌙 + 💡	MOONLIGHT	Combine the two clues.
005	Beginner	🔥 + 🐦	FIREBIRD	Combine the two clues.
006	Beginner	🐴 + 👞	HORSESHOE	Combine the two clues.
007	Beginner	🐶 + 🏠	DOGHOUSE	Combine the two clues.
008	Beginner	🐱 + 🐟	CATFISH	Combine the two clues.
009	Beginner	🦷 + 🪥	TOOTHBRUSH	What do these clues make together?
010	Beginner	🦶 + ⚽	FOOTBALL	Combine the two clues.
011	Beginner	🌧️ + 🧥	RAINCOAT	Think of something worn in the rain.
012	Beginner	🌧️ + 👢	RAINBOOTS	Think of footwear for rainy weather.
013	Beginner	🌳 + 🏠	TREEHOUSE	Think of a house connected with a tree.
014	Beginner	🏫 + 🚌	SCHOOL BUS	Combine the clues.
015	Beginner	🚌 + 🛑	BUS STOP	Where does a bus stop?
016	Beginner	🔑 + 🚪	KEY TO THE DOOR	Think about what a key does.
017	Beginner	🍎 + 🥧	APPLE PIE	Combine the clues.
018	Beginner	🍿 + 🎬	MOVIE NIGHT	Think about going to the cinema.
019	Beginner	🎂 + 🎈	BIRTHDAY PARTY	Think of a celebration.
020	Beginner	❤️ + 💔	HEARTBREAK	Look at the two heart clues.
021	Beginner	CYCLE\nCYCLE\nCYCLE	TRICYCLE	How many CYCLEs are there?
022	Beginner	MAN\nMAN	TWO MEN	Count the words.
023	Beginner	STAR\nSTAR\nSTAR	THREE STARS	Count them.
024	Beginner	BOOK\nBOOK\nBOOK	THREE BOOKS	How many books?
025	Beginner	SUN\nSUN	TWO SUNS	Count them.
026	Intermediate	HEAD\n↓\nHEELS	HEAD OVER HEELS	Look at the position.
027	Intermediate	MAN\n↓\nBOARD	MAN OVERBOARD	One word is over another.
028	Intermediate	STAND\nI	I UNDERSTAND	Look carefully at the position of I.
029	Intermediate	YOU\nJUST\nME	JUST BETWEEN YOU AND ME	Look at the middle word.
030	Intermediate	SIDE     SIDE	SIDE BY SIDE	Look at the arrangement.
031	Intermediate	BACK     BACK	BACK TO BACK	Look at the arrangement.
032	Intermediate	TIME\nTIME	DOUBLE TIME	What happens when it appears twice?
033	Intermediate	NO\nWHERE	NOWHERE	Put the two parts together.
034	Intermediate	SOME\nWHERE	SOMEWHERE	Put the two parts together.
035	Intermediate	READ\nING	READING BETWEEN THE LINES	Look at the separation.
036	Challenge	DECI SION	SPLIT DECISION	The word has been split.
037	Challenge	LONG\nTIME	LONG TIME	Look carefully at the words.
038	Challenge	EVER\nYTHING	EVERYTHING	Put the pieces together.
039	Challenge	MAN\nKIND	MANKIND	Join the two parts.
040	Challenge	W\nA\nT\nE\nR	WATERFALL	Look at the direction of the letters.
